cell,delta,ci_low,ci_high,n,n_videos,wins_b,wins_a,excludes_zero
aggregation_ID,0.09215167548500881,0.005677876092670701,0.18520607073238662,233,6,38,16,True
aggregation_OOD,0.004947735191637631,-0.042682926829268296,0.06857142857142857,421,2,30,30,False
object_recognition_ID,0.04607521234879725,0.0008542248282814332,0.09490972209132587,250,6,22,10,True
object_recognition_OOD,0.020678210678210678,-0.02085137085137085,0.06493506493506493,379,2,31,24,False
ALL_ID,0.0705246913580247,0.0205761316872428,0.12459040637860082,483,6,60,26,True
ALL_OOD,0.00875,-0.02,0.041249999999999995,800,2,61,54,False
