cell,n,r_armA_ep1,r_flip,delta_r,ci_flip,bias_armA,bias_flip,unreadable_flip
pooled,681,0.5537,0.4988,-0.055,"[0.402, 0.575]",-1.329,-1.327,0
ID,285,0.5981,0.5064,-0.0918,"[0.377, 0.618]",-1.214,-1.291,0
OOD,396,0.4908,0.4685,-0.0223,"[0.290, 0.604]",-1.412,-1.354,0
