cell,n,r_armA_ep3,r_flip,delta_r,ci_flip,bias_armA,bias_flip,unreadable_flip
pooled,681,0.6589,0.637,-0.0219,"[0.548, 0.708]",-0.579,-0.689,0
ID,285,0.6893,0.6904,0.0011,"[0.603, 0.770]",-0.512,-0.649,0
OOD,396,0.6127,0.572,-0.0407,"[0.337, 0.708]",-0.626,-0.717,0
