cell,delta,ci_low,ci_high,n,n_videos,wins_b,wins_a,excludes_0
ALL_transformable,-0.03832541822664547,-0.09405485262672546,0.016932672857841988,871,38,50,81,False
rule=fixed_quadrant_class,-0.004657808353726612,-0.06396443190994106,0.05606636385943965,461,38,26,47,False
rule=all_object_positions,-0.07660025800607517,-0.17858772561118474,0.01647892619845501,208,38,17,18,False
rule=object_center_quadrant,-0.07585645537258441,-0.19568100358422938,0.04188131313131312,202,30,7,16,False
