cell,delta,ci_low,ci_high,n,n_videos,wins_b,wins_a,excludes_0
ALL_transformable,0.03022325245608789,-0.008135113008719169,0.07123968011897913,871,38,41,34,False
rule=fixed_quadrant_class,0.008285576112594367,-0.04761031539076879,0.06888758673017085,461,38,16,23,False
rule=all_object_positions,0.04830086810696229,-0.018077320878567414,0.13008812344165524,208,38,13,6,False
rule=object_center_quadrant,0.03979016503210051,-0.029917991730491738,0.10960903679653672,202,30,12,5,False
