cell,n,illegal,macro_f1_armA,macro_f1_flip,d_macro,exact_armA,exact_flip,ci_flip
pooled,2675,0,0.6962,0.7016,0.0054,0.7099,0.7211,"[0.651, 0.802]"
ID,920,0,0.5815,0.5505,-0.031,0.6772,0.6935,"[0.475, 0.681]"
OOD,1755,0,0.6686,0.6863,0.0176,0.7271,0.7356,"[0.652, 0.862]"
