cell,delta,ci_low,ci_high,n,n_videos,wins_b,wins_a,excludes_0
ALL_transformable,0.011580051687632511,-0.03713154164938443,0.05703415740689164,871,38,39,45,False
rule=fixed_quadrant_class,0.019353409761716928,-0.03559616184004189,0.0809339702155744,461,38,20,27,False
rule=all_object_positions,0.004187894284847192,-0.059888094938302695,0.07026464936264099,208,38,8,10,False
rule=object_center_quadrant,0.010367965367965365,-0.07901335940045617,0.1003269329237071,202,30,11,8,False
