cell,n,illegal,macro_f1_armA,macro_f1_flip,d_macro,exact_armA,exact_flip,ci_flip
pooled,2675,0,0.7134,0.715,0.0017,0.72,0.7189,"[0.663, 0.811]"
ID,920,0,0.6906,0.562,-0.1286,0.688,0.7033,"[0.487, 0.728]"
OOD,1755,0,0.6929,0.6959,0.003,0.7368,0.7271,"[0.667, 0.856]"
