cell,n,r_06ep3_archived,r_18,delta_r,ci_18,bias_06,bias_18,exact_06,exact_18,unreadable_18
pooled,681,0.5866,0.4888,-0.0978,"[0.353, 0.585]",-0.646,-1.598,0.2746,0.1894,0
ID,285,0.6636,0.5408,-0.1227,"[0.427, 0.643]",-0.723,-1.344,0.2667,0.193,0
OOD,396,0.4997,0.4071,-0.0926,"[0.017, 0.623]",-0.591,-1.78,0.2803,0.1869,0
