cell,n,r_06ep3_archived,r_18,delta_r,ci_18,bias_06,bias_18,exact_06,exact_18,unreadable_18
pooled,681,0.5866,0.6003,0.0137,"[0.502, 0.675]",-0.646,-0.837,0.2746,0.2438,0
ID,285,0.6636,0.6684,0.0048,"[0.584, 0.736]",-0.723,-0.747,0.2667,0.2421,0
OOD,396,0.4997,0.5162,0.0165,"[0.249, 0.672]",-0.591,-0.902,0.2803,0.2449,0
