run,epoch,checkpoint,bucket_mean,acc_ID,acc_OOD,margin_ID,margin_OOD,number_margin_ID,number_margin_OOD,clips_r_pooled,clips_r_ID,clips_r_OOD,clips_bias,d_bucket_mean_vs_06ep3,d_clips_r_vs_06ep3
18_count_aug_v1,1,checkpoint-901,0.5255454480299004,0.5031083481349912,0.5655,0.1660746003552398,0.10575,0.0598958333333333,-0.0346907993966817,0.48880149723549,0.5408288274216233,0.4071231219729668,-1.5976505139500732,-0.0468545519700995,-0.0978199347162406
18_count_aug_v1,2,checkpoint-1802,0.5488439834300989,0.5239786856127886,0.594,0.1869449378330372,0.1342499999999999,0.0716145833333333,-0.0098039215686274,0.5609840674414507,0.6236711665544987,0.4776566655428904,-1.2584434654919234,-0.0235560165699011,-0.0256373645102799
18_count_aug_v1,3,checkpoint-2703,0.5720596122916881,0.5586145648312612,0.60525,0.22158081705150984,0.14549999999999996,0.10416666666666666,-0.009803921568627472,0.600293439814745,0.6683751115906232,0.5162158485799968,-0.8370044052863435,-0.0003403877083119067,0.013672007863014368
