dropped,bag_f1_control,bag_f1_arm,delta,arm_wins
VID05,0.8988850442137639,0.8926940639269407,-0.006190980286823189,False
VID06,0.914308811641067,0.9031739654479711,-0.011134846193095904,False
VID10,0.8923948220064725,0.8830128205128205,-0.009382001493651981,False
VID110,0.8919939577039275,0.8837383177570094,-0.008255639946918136,False
VID12,0.8937592867756314,0.8865143699336773,-0.007244916841954163,False
VID18,0.8970073843762146,0.8880338591766064,-0.008973525199608257,False
VID25,0.8940527766837338,0.8875923765071957,-0.00646040017653815,False
VID26,0.8974164133738602,0.8894736842105262,-0.00794272916333405,False
VID49,0.9066348827969806,0.9018067556952082,-0.004828127101772384,False
VID66,0.8947569843092231,0.8862774829416226,-0.008479501367600562,False
VID75,0.8874649579495394,0.8790162633875447,-0.008448694561994707,False
VID78,0.8930088837388953,0.8843952689813048,-0.008613614757590482,False
VID79,0.889967637540453,0.8814102564102564,-0.008557381130196662,False
VID92,0.8928433268858801,0.8853087840429612,-0.007534542842918879,False
VID96,0.8923426838514025,0.884543061301241,-0.0077996225501614225,False
