dropped,bag_f1_control,bag_f1_arm,delta,arm_wins
VID05,0.8988850442137639,0.8967370441458733,-0.002148000067890621,False
VID06,0.914308811641067,0.9120258272800645,-0.0022829843610024936,False
VID10,0.8923948220064725,0.8901453957996769,-0.0022494262067955795,False
VID110,0.8919939577039275,0.889894419306184,-0.002099538397743572,False
VID12,0.8937592867756314,0.8916913946587537,-0.0020678921168777453,False
VID18,0.8970073843762146,0.8948389600310439,-0.0021684243451707275,False
VID25,0.8940527766837338,0.8918600078647267,-0.002192768819007096,False
VID26,0.8974164133738602,0.8952959028831562,-0.002120510490704053,False
VID49,0.9066348827969806,0.9044030146767156,-0.0022318681202649904,False
VID66,0.8947569843092231,0.892625143293848,-0.0021318410153751133,False
VID75,0.8874649579495394,0.8852459016393442,-0.0022190563101951444,False
VID78,0.8930088837388953,0.8926640926640926,-0.000344791074802675,False
VID79,0.889967637540453,0.888080808080808,-0.001886829459645023,False
VID92,0.8928433268858801,0.8906913866357667,-0.0021519402501133378,False
VID96,0.8923426838514025,0.8902346707040121,-0.0021080131473903974,False
