dropped,bag_f1_control,bag_f1_arm,delta,arm_wins
VID05,0.8988850442137639,0.9031514219830898,0.004266377769325924,True
VID06,0.914308811641067,0.9162282476730068,0.0019194360319397807,True
VID10,0.8923948220064725,0.8942034860154033,0.0018086640089308714,True
VID110,0.8919939577039275,0.8949357520786092,0.002941794374681672,True
VID12,0.8937592867756314,0.8965773809523809,0.002818094176749497,True
VID18,0.8970073843762146,0.9025242718446602,0.005516887468445586,True
VID25,0.8940527766837338,0.8958168902920285,0.0017641136082946485,True
VID26,0.8974164133738602,0.9000380083618397,0.0026215949879794254,True
VID49,0.9066348827969806,0.9135606661379857,0.006925783341005132,True
VID66,0.8947569843092231,0.8981623277182236,0.0034053434090004497,True
VID75,0.8874649579495394,0.8897795591182365,0.0023146011686970835,True
VID78,0.8930088837388953,0.8933539412673879,0.000345057528492565,True
VID79,0.889967637540453,0.8940129449838188,0.004045307443365731,True
VID92,0.8928433268858801,0.8929402637703646,9.693688448453308e-05,True
VID96,0.8923426838514025,0.8940372199012533,0.0016945360498508144,True
