dropped,bag_f1_control,bag_f1_arm,delta,arm_wins
VID05,0.8988850442137639,0.9033485540334856,0.004463509819721656,True
VID06,0.914308811641067,0.9172331067572971,0.002924295116230047,True
VID10,0.8923948220064725,0.8959167333867093,0.0035219113802368307,True
VID110,0.8919939577039275,0.8964485981308412,0.004454640426913681,True
VID12,0.8937592867756314,0.8977941176470589,0.0040348308714274195,True
VID18,0.8970073843762146,0.9004229142637447,0.003415529887530022,True
VID25,0.8940527766837338,0.8979750778816198,0.003922301197885947,True
VID26,0.8974164133738602,0.9015037593984963,0.004087346024636007,True
VID49,0.9066348827969806,0.9078740157480316,0.0012391329510510474,True
VID66,0.8947569843092231,0.8977272727272728,0.0029702884180496936,True
VID75,0.8874649579495394,0.8915281076801267,0.004063149730587301,True
VID78,0.8930088837388953,0.8971319311663479,0.00412304742745262,True
VID79,0.889967637540453,0.8939575830332133,0.003989945492760216,True
VID92,0.8928433268858801,0.895865237366003,0.0030219104801229024,True
VID96,0.8923426838514025,0.8960600375234522,0.003717353672049728,True
