model,platform,recall_ALL,mean_set_size,recall_Clip,recall_bag
r06,0.4767,0.8429447852760736,1.421676891615542,0.9989350372736954,0.7456839309428951
a2,0.5288,0.8895705521472392,1.4032719836400818,0.9936102236421726,0.8247011952191236
r42,0.5809,0.8871165644171779,1.2167689161554192,0.9968051118210862,0.8187250996015937
r47,,0.8748466257668711,1.3267893660531698,1.0,0.796812749003984
