dropped,bag_f1_control,bag_f1_arm,delta,arm_wins
VID05,0.8988850442137639,0.8863900736719659,-0.012494970541798045,False
VID06,0.914308811641067,0.900408163265306,-0.013900648375760993,False
VID10,0.8923948220064725,0.8795426704777459,-0.012852151528726541,False
VID110,0.8919939577039275,0.8793300342596118,-0.012663923444315772,False
VID12,0.8937592867756314,0.8820666417072257,-0.011692645068405727,False
VID18,0.8970073843762146,0.8847962382445141,-0.01221114613170049,False
VID25,0.8940527766837338,0.8834258524980174,-0.010626924185716424,False
VID26,0.8974164133738602,0.8862504787437765,-0.011165934630083751,False
VID49,0.9066348827969806,0.8999601434834595,-0.0066747393135210276,False
VID66,0.8947569843092231,0.8827160493827161,-0.012040934926507041,False
VID75,0.8874649579495394,0.8743434343434344,-0.013121523606104968,False
VID78,0.8930088837388953,0.8812767613857532,-0.011732122353142138,False
VID79,0.889967637540453,0.8770926908942425,-0.012874946646210583,False
VID92,0.8928433268858801,0.8813427010148321,-0.011500625871047943,False
VID96,0.8923426838514025,0.8803974016048911,-0.011945282246511368,False
