dropped,bag_f1_control,bag_f1_arm,delta,arm_wins
VID05,0.8988850442137639,0.8935185185185185,-0.005366525695245428,False
VID06,0.914308811641067,0.9079107505070994,-0.006398061133967681,False
VID10,0.8923948220064725,0.8862713241267263,-0.006123497879746198,False
VID110,0.8919939577039275,0.8859416445623342,-0.0060523131415933795,False
VID12,0.8937592867756314,0.8878121505777116,-0.005947136197919867,False
VID18,0.8970073843762146,0.8916601714731098,-0.005347212903104803,False
VID25,0.8940527766837338,0.8881864875543265,-0.005866289129407343,False
VID26,0.8974164133738602,0.8921904761904762,-0.005225937183384044,False
VID49,0.9066348827969806,0.9020700636942675,-0.0045648191027131135,False
VID66,0.8947569843092231,0.8886328725038403,-0.006124111805382859,False
VID75,0.8874649579495394,0.8810289389067525,-0.0064360190427869,False
VID78,0.8930088837388953,0.8868217054263566,-0.006187178312538677,False
VID79,0.889967637540453,0.8847402597402598,-0.0052273778001932225,False
VID92,0.8928433268858801,0.8862135922330097,-0.006629734652870423,False
VID96,0.8923426838514025,0.8866920152091254,-0.005650668642277035,False
