dropped,bag_f1_r06,bag_f1_r14,delta,arm_wins
VID05,0.8467677573822826,0.8364372469635627,-0.010330510418719907,False
VID06,0.8692756036636137,0.8573846804909014,-0.011890923172712231,False
VID10,0.8417085427135678,0.8312792180195495,-0.01042932469401825,False
VID110,0.8390129259694477,0.82922954725973,-0.009783378709717683,False
VID12,0.8420647149460709,0.8329430132708822,-0.009121701675188776,False
VID18,0.8466800804828973,0.8384991843393149,-0.008180896143582417,False
VID25,0.8419763168640261,0.8351920693928128,-0.006784247471213312,False
VID26,0.8476977567886659,0.8391719745222931,-0.008525782266372794,False
VID49,0.8633387888707037,0.8529900332225914,-0.010348755648112329,False
VID66,0.8437747819191118,0.8339364696421392,-0.009838312276972627,False
VID75,0.8350643955130868,0.8234302570585756,-0.011634138454511112,False
VID78,0.840498192044998,0.8320455469703131,-0.008452645074684906,False
VID79,0.835720303285594,0.8279386712095401,-0.007781632076053868,False
VID92,0.8438751000800642,0.8321820398212109,-0.011693060258853305,False
VID96,0.8427672955974841,0.8312724371759076,-0.011494858421576493,False
