row,sdk_hierarchical,ci_low,ci_high,flat,delta
fo_class,0.6040597025285108,0.5476074469226274,0.6609178369236913,0.5876635514018692,0.01639615112664161
open_ended,0.6451147008773214,0.5791453642697337,0.7162462024700853,0.6373429084380611,0.007771792439260294
multiple_choice,0.7505036092939318,0.6244164426523298,0.8600305458430458,0.7623762376237624,-0.011872628329830603
number,0.3803277090725466,0.3281430840409405,0.427555055488753,0.43314231136580705,-0.05281460229326046
binary,0.7879475728159938,0.7211033478138742,0.8502956692430377,0.7624309392265194,0.025516633589474425
