transform,sep_max_value,sep_mean_value,sep_max_delta,sep_mean_delta,sep_max_wins,sep_mean_wins,sep_max_cells,sep_mean_cells
identity,0.2180833635238612,0.10691684882368963,0.0,0.0,0,0,235,235
identity_eighth,0.20753840756368636,0.09981459012256887,-0.010544955960174828,-0.007102258701120754,100,90,235,235
identity_16th,0.20110886019367433,0.09420257540440401,-0.016974503330186852,-0.012714273419285618,91,82,235,235
bimg,0.2000705672764575,0.12447177619292801,-0.01801279624740367,0.01755492736923842,90,146,235,235
bimg_16th_post,0.19486531370461915,0.09558684553083657,-0.02321804981924204,-0.011330003292853039,85,82,235,235
