run,arm,model,epoch,checkpoint,baseline_run,lr,lora_rank,lora_alpha,n_rows,trainable_params,train_hours,peak_vram_train_gib,train_loss,proxy_leaderboard,aggregation_ID,object_recognition_ID,bucket_mean,acc_ID,acc_OOD,margin_OOD,d_proxy_vs_baseline_same_epoch,d_margin_OOD_vs_baseline_same_epoch,paired_delta_ALL,paired_ci_ALL,paired_ALL_excludes_0,paired_delta_ID,paired_ci_ID,paired_ID_excludes_0,infer_latency_p99_s,infer_latency_max_s,timed_out,verdict
40_A_alpha_v1,A_alpha,Qwen/Qwen3.6-27B,1,901_steps_1epoch,38_qwen36_27b_v1 ep1,0.0002,8,16,14415,62213888,3.28,52.72,0.08162,0.4972,0.3895,0.6049,0.5453,0.5138,0.5955,,0.0329,,0.0251,"[+0.0030,+0.0498]",True,0.0351,"[+0.0068,+0.0651]",True,1.5151026193820865,4.640637447824702,0,WIN (paired ALL and ID both exclude 0 in the arm's favour; no cell harmed)
40_B_connector_v1,B_connector,Qwen/Qwen3.6-27B,1,901_steps_1epoch,38_qwen36_27b_v1 ep1,0.0002,8,32,14415,107050240,3.28,53.4,0.06756,0.526,0.4262,0.6258,0.5763,0.5409,0.6298,,0.0617,,0.054,"[+0.0312,+0.0784]",True,0.0621,"[+0.0318,+0.0934]",True,1.7549515778943876,4.5107625955715775,0,"WIN (ALL, ID and OOD all exclude 0; no cell harmed; beats alpha16 by +0.0289 [+0.0104,+0.0476])"
