format,arm,distribution,n,n_videos,acc_control,acc_arm,margin_control,margin_arm,delta,ci_low,ci_high,ci_halfwidth,wins_arm,wins_control
fo_class,arm1_x1,ID,920,28,0.6119565217391304,0.5847826086956521,0.3228260869565217,0.29565217391304344,-0.02590468728709121,-0.05455968573930321,0.004008126806356888,0.02928390627283005,29,54
fo_class,arm1_x1,OOD,1755,10,0.6239316239316239,0.6131054131054131,0.2621082621082621,0.2512820512820513,-0.01093207079096373,-0.028788275069513005,0.0071564197414515415,0.017972347405482272,62,81
fo_class,arm2_x3,ID,920,28,0.6119565217391304,0.558695652173913,0.3228260869565217,0.26956521739130435,-0.05582406808217254,-0.09491640097970948,-0.01755559709487489,0.03868040194241729,44,93
fo_class,arm2_x3,OOD,1755,10,0.6239316239316239,0.5635327635327635,0.2621082621082621,0.20170940170940166,-0.05820588658327145,-0.08874375741913808,-0.0277420594933189,0.03050084896290959,83,189
number,arm1_x1,ID,768,28,0.3268229166666667,0.3424479166666667,0.08593750000000003,0.10156250000000003,0.008098222853140874,-0.025406719553091647,0.038699098881117874,0.03205290921710476,46,34
number,arm1_x1,OOD,1326,10,0.4819004524886878,0.4592760180995475,0.01282051282051283,-0.009803921568627472,-0.019839841916782654,-0.049855702936661674,0.009493965118990606,0.02967483402782614,51,81
number,arm2_x3,ID,768,28,0.3268229166666667,0.3216145833333333,0.08593750000000003,0.08072916666666666,-0.015518009717183829,-0.0607109559240057,0.02643890957658869,0.043574932750297196,66,70
number,arm2_x3,OOD,1326,10,0.4819004524886878,0.44268476621417796,0.01282051282051283,-0.026395173453997,-0.034391721574375624,-0.08053980144903249,0.011327306432332906,0.04593355394068269,101,153
