cell,delta,ci_low,ci_high,n,n_videos,wins_b,wins_a,excludes_zero
aggregation_ID,-0.04759187942756621,-0.14506723985890652,0.04293550610944707,233,6,22,35,False
aggregation_OOD,0.004123112659698025,-0.04065040650406504,0.06285714285714286,421,2,30,30,False
object_recognition_ID,-0.03482432138092515,-0.09464163151663152,0.02810962491387021,250,6,12,21,False
object_recognition_OOD,-0.017604617604617605,-0.05247186147186147,0.01811832611832615,379,2,19,26,False
ALL_ID,-0.04573045267489712,-0.10776748971193416,0.012064686213991776,483,6,34,56,False
ALL_OOD,-0.00875,-0.03503124999999999,0.018750000000000003,800,2,49,56,False
