cell,delta,ci_low,ci_high,n,n_videos,wins_b,wins_a,excludes_zero
ALL,-0.046687370600414085,-0.08773938923395445,-0.013457556935817806,202,92,0,11,True
object_recognition,-0.046687370600414085,-0.08773938923395445,-0.013457556935817806,202,92,0,11,True
