cell,delta,ci_low,ci_high,n,n_videos,wins_b,wins_a,excludes_zero
ALL,-0.0076388888888888895,-0.10729166666666667,0.08646701388888892,175,8,5,6,False
object_recognition,-0.0076388888888888895,-0.10729166666666667,0.08646701388888892,175,8,5,6,False
