fraction,n_fit,n_components,C,train_accuracy,ood_accuracy
0.25,133,128,0.0001,0.7593984962406015,0.8746803069053708
0.5,266,128,0.0001,0.7443609022556391,0.8861892583120204
0.75,398,128,0.0001,0.7412060301507538,0.8887468030690537
1.0,531,128,0.0001,0.7419962335216572,0.8849104859335039
