answer_format,n,zero_advantage_frac,pass_at_k,greedy,entropy_mean,mode_share_mean,unparsed_mean,headroom
binary,200,0.735,0.985,0.945,0.19399083321380634,0.935625,0.0,0.040000000000000036
fo_class,200,0.705,0.93,0.885,0.3213719788601763,0.9034821428571429,0.005,0.04500000000000004
number,200,0.27,0.91,0.6,1.0556769803045574,0.664375,0.0,0.31000000000000005
