run,arm,k,temperature,n_all,n_nondegenerate,acc_nondeg_greedy,acc_nondeg_voted,margin_nondeg_ID,margin_nondeg_OOD,delta_ID,ci_low_ID,ci_high_ID,delta_OOD,ci_low_OOD,ci_high_OOD,acc_all_greedy,acc_all_voted,verdict,date,notes
10_self_consistency_v1,A,8,1.0,2094,2030,0.4074,0.3911,0.0748,-0.0047,-0.0053,-0.0503,0.0406,-0.0195,-0.0552,0.0122,0.425,0.4088,FAITHFUL_NEGATIVE,2026-07-20,"majority vote over k=8 at T=1.0, full 2094 `number`; baseline = rung 06 ckpt-1720 greedy rescored identically (gated to reproduce the SDK 0.4250). Ties break LOW. Paired video-level bootstrap (frame.metrics.paired_delta_ci, n_boot=2000). VERDICT is judged at the `nondegenerate` scope (>1 distinct ground truth) per 08-data-card: acc_number over all 2094 is not interpretable. Pre-registered bar +0.02 with CI excluding 0 in ID AND OOD; 3 arms, one test, no extension. Detail: runs/10_self_consistency_v1/RESULTS_{arms,templates}.csv."
10_self_consistency_v1,B,8,1.3,2094,2030,0.4074,0.3946,0.0617,0.0087,-0.0172,-0.0665,0.0347,-0.0074,-0.0475,0.0264,0.425,0.4112,FAITHFUL_NEGATIVE,2026-07-20,"majority vote over k=8 at T=1.3, full 2094 `number`; baseline = rung 06 ckpt-1720 greedy rescored identically (gated to reproduce the SDK 0.4250). Ties break LOW. Paired video-level bootstrap (frame.metrics.paired_delta_ci, n_boot=2000). VERDICT is judged at the `nondegenerate` scope (>1 distinct ground truth) per 08-data-card: acc_number over all 2094 is not interpretable. Pre-registered bar +0.02 with CI excluding 0 in ID AND OOD; 3 arms, one test, no extension. Detail: runs/10_self_consistency_v1/RESULTS_{arms,templates}.csv."
10_self_consistency_v1,C,16,1.0,2094,2030,0.4074,0.398,0.1168,-0.0189,0.0284,-0.0093,0.0696,-0.043,-0.081,-0.0082,0.425,0.415,FAITHFUL_NEGATIVE,2026-07-20,"majority vote over k=16 at T=1.0, full 2094 `number`; baseline = rung 06 ckpt-1720 greedy rescored identically (gated to reproduce the SDK 0.4250). Ties break LOW. Paired video-level bootstrap (frame.metrics.paired_delta_ci, n_boot=2000). VERDICT is judged at the `nondegenerate` scope (>1 distinct ground truth) per 08-data-card: acc_number over all 2094 is not interpretable. Pre-registered bar +0.02 with CI excluding 0 in ID AND OOD; 3 arms, one test, no extension. Detail: runs/10_self_consistency_v1/RESULTS_{arms,templates}.csv."
