run,arm,epoch,checkpoint,eval_set,n_eval,n_videos,aggregation_ID,object_recognition_ID,aggregation_OOD,object_recognition_OOD,bucket_mean,acc_ID,acc_OOD,margin_ID,margin_OOD,acc_fo_class,pred_illegal_fo_class,delta_vs_0_6468,prefix_count_all,prefix_count_fo_class,prefix_agreement
50a_countprefix_v1,A,4,checkpoint-3604,full 6252 (38 videos),6252,38,0.4816753926701571,0.7322530864197531,0.6069333333333333,0.7712941176470588,0.6480389825175756,0.6256660746003553,0.69425,0.28863232682060397,0.23450000000000004,0.7481358958514776,1,0.001238982517575593,2675.0,2675.0,1.0
50b_contweight_v1,B,4,checkpoint-3604,full 6252 (38 videos),6252,38,0.4942408376963351,0.7492283950617284,0.6101333333333333,0.784,0.6594006415228493,0.6407637655417406,0.7025,0.3037300177619893,0.24275000000000002,0.7682457702627218,0,0.012600641522849232,,,
