date	size_mb	kind	checkout	experiment	run	checkpoint	path
2026-08-08	102.8	adapter	repo_rodri	30-grpo-number	30_grpo_v1_control_smoke	checkpoint-10	/workspace/repo_rodri/experiments/30-grpo-number/runs/30_grpo_v1_control_smoke/ckpt/v0-20260808-181822/checkpoint-10
2026-08-08	102.8	adapter	repo_rodri	30-grpo-number	30_grpo_v1_grpo_full	checkpoint-100	/workspace/repo_rodri/experiments/30-grpo-number/runs/30_grpo_v1_grpo_full/ckpt/v0-20260808-140800/checkpoint-100
2026-08-08	102.8	adapter	repo_rodri	30-grpo-number	30_grpo_v1_grpo_full	checkpoint-200	/workspace/repo_rodri/experiments/30-grpo-number/runs/30_grpo_v1_grpo_full/ckpt/v0-20260808-140800/checkpoint-200
2026-08-08	102.8	adapter	repo_rodri	30-grpo-number	30_grpo_v1_grpo_full	checkpoint-300	/workspace/repo_rodri/experiments/30-grpo-number/runs/30_grpo_v1_grpo_full/ckpt/v0-20260808-140800/checkpoint-300
2026-08-08	102.8	adapter	repo_rodri	30-grpo-number	30_grpo_v1_grpo_full	checkpoint-400	/workspace/repo_rodri/experiments/30-grpo-number/runs/30_grpo_v1_grpo_full/ckpt/v0-20260808-140800/checkpoint-400
2026-08-08	102.8	adapter	repo_rodri	30-grpo-number	30_grpo_v1_grpo_full	checkpoint-500	/workspace/repo_rodri/experiments/30-grpo-number/runs/30_grpo_v1_grpo_full/ckpt/v0-20260808-140800/checkpoint-500
2026-08-08	102.8	adapter	repo_rodri	30-grpo-number	30_grpo_v1_grpo_full	checkpoint-600	/workspace/repo_rodri/experiments/30-grpo-number/runs/30_grpo_v1_grpo_full/ckpt/v0-20260808-140800/checkpoint-600
2026-08-08	102.8	adapter	repo_rodri	30-grpo-number	30_grpo_v1_grpo_smoke	checkpoint-10	/workspace/repo_rodri/experiments/30-grpo-number/runs/30_grpo_v1_grpo_smoke/ckpt/v0-20260808-135846/checkpoint-10
2026-08-09	102.8	adapter	repo_leo	32-aligner-unfreeze	32_reach_control_frozen	checkpoint-5	/workspace/repo_leo/experiments/32-aligner-unfreeze/runs/32_reach_control_frozen/ckpt/v0-20260809-012931/checkpoint-5
2026-08-09	102.8	adapter	repo_leo	32-aligner-unfreeze	32_reach_unfrozen	checkpoint-5	/workspace/repo_leo/experiments/32-aligner-unfreeze/runs/32_reach_unfrozen/ckpt/v0-20260809-012539/checkpoint-5
2026-08-09	102.8	adapter	repo_rodri	35-ntl-was	35_ntl_smoke	checkpoint-4	/workspace/repo_rodri/experiments/35-ntl-was/runs/35_ntl_smoke/ckpt/v1-20260809-224804/checkpoint-4
2026-08-09	102.8	adapter	repo_rodri	35-ntl-was	35_ntl_smoke_lam0	checkpoint-4	/workspace/repo_rodri/experiments/35-ntl-was/runs/35_ntl_smoke_lam0/ckpt/v0-20260809-224952/checkpoint-4
2026-08-10	102.8	adapter	repo_rodri	35-ntl-was	35_ntl_was_v1	checkpoint-1802	/workspace/repo_rodri/experiments/35-ntl-was/runs/35_ntl_was_v1/ckpt/v0-20260809-225216/checkpoint-1802
2026-08-10	102.8	adapter	repo_rodri	35-ntl-was	35_ntl_was_v1	checkpoint-2703	/workspace/repo_rodri/experiments/35-ntl-was/runs/35_ntl_was_v1/ckpt/v0-20260809-225216/checkpoint-2703
2026-08-10	102.8	adapter	repo_rodri	35-ntl-was	35_ntl_was_v1	checkpoint-901	/workspace/repo_rodri/experiments/35-ntl-was/runs/35_ntl_was_v1/ckpt/v0-20260809-225216/checkpoint-901
2026-08-13	249.0	adapter	repo_leo	38-gen36-ft-screen	38_qwen36_27b_v1		/workspace/repo_leo/experiments/38-gen36-ft-screen/runs/38_qwen36_27b_v1/adapter
2026-08-13	249.0	adapter	repo_leo	38-gen36-ft-screen	38_qwen36_27b_v1	checkpoint-900	/workspace/repo_leo/experiments/38-gen36-ft-screen/runs/38_qwen36_27b_v1/ckpt/checkpoint-900
2026-08-13	249.0	adapter	repo_leo	38-gen36-ft-screen	38_qwen36_27b_v1	checkpoint-901	/workspace/repo_leo/experiments/38-gen36-ft-screen/runs/38_qwen36_27b_v1/ckpt/checkpoint-901
2026-08-13	249.0	adapter	repo_leo	38-gen36-ft-screen	38_smoke		/workspace/repo_leo/experiments/38-gen36-ft-screen/runs/38_smoke/adapter
2026-08-13	249.0	adapter	repo_leo	38-gen36-ft-screen	38_smoke	checkpoint-2	/workspace/repo_leo/experiments/38-gen36-ft-screen/runs/38_smoke/ckpt/checkpoint-2
2026-08-13	249.0	adapter	repo_leo	38-gen36-ft-screen	38_smoke_blackwell		/workspace/repo_leo/experiments/38-gen36-ft-screen/runs/38_smoke_blackwell/adapter
2026-08-14	105.1	adapter	repo_rodri	39-connector-lora	39_connector_v1	checkpoint-901	/workspace/repo_rodri/experiments/39-connector-lora/runs/39_connector_v1/ckpt/v0-20260814-001219/checkpoint-901
2026-08-13	102.8	adapter	repo_rodri	39-connector-lora	39_reach_control_frozen	checkpoint-5	/workspace/repo_rodri/experiments/39-connector-lora/runs/39_reach_control_frozen/ckpt/v0-20260813-232859/checkpoint-5
2026-08-14	102.8	adapter	repo_rodri	39-connector-lora	39_reach_control_frozen	checkpoint-5	/workspace/repo_rodri/experiments/39-connector-lora/runs/39_reach_control_frozen/ckpt/v1-20260814-000319/checkpoint-5
2026-08-13	105.1	adapter	repo_rodri	39-connector-lora	39_reach_subject_unfrozen	checkpoint-5	/workspace/repo_rodri/experiments/39-connector-lora/runs/39_reach_subject_unfrozen/ckpt/v0-20260813-232030/checkpoint-5
2026-08-13	105.1	adapter	repo_rodri	39-connector-lora	39_reach_subject_unfrozen	checkpoint-5	/workspace/repo_rodri/experiments/39-connector-lora/runs/39_reach_subject_unfrozen/ckpt/v1-20260813-235521/checkpoint-5
2026-08-14	249.0	adapter	repo_leo	40-gen36-recipe-connector	40_A_alpha_v1	checkpoint-901	/workspace/repo_leo/experiments/40-gen36-recipe-connector/runs/40_A_alpha_v1/ckpt/checkpoint-901
2026-08-15	0.1	merged/full	repo_leo	40-gen36-recipe-connector	40_B_connector_ep23_v1		/workspace/repo_leo/experiments/40-gen36-recipe-connector/runs/40_B_connector_ep23_v1/merged
2026-08-16	338.7	adapter	repo_leo	40-gen36-recipe-connector	40_B_connector_ep23_v1	checkpoint-1802	/workspace/repo_leo/experiments/40-gen36-recipe-connector/runs/40_B_connector_ep23_v1/ckpt/checkpoint-1802
2026-08-15	338.7	adapter	repo_leo	40-gen36-recipe-connector	40_B_connector_ep23_v1	checkpoint-901	/workspace/repo_leo/experiments/40-gen36-recipe-connector/runs/40_B_connector_ep23_v1/ckpt/checkpoint-901
2026-08-15	0.1	merged/full	repo_leo	40-gen36-recipe-connector	40_B_connector_v1		/workspace/repo_leo/experiments/40-gen36-recipe-connector/runs/40_B_connector_v1/merged
2026-08-15	338.7	adapter	repo_leo	40-gen36-recipe-connector	40_B_connector_v1	checkpoint-901	/workspace/repo_leo/experiments/40-gen36-recipe-connector/runs/40_B_connector_v1/ckpt/checkpoint-901
2026-08-14	105.1	adapter	repo_rodri	42-merged-corpus	42_merged_v1	checkpoint-1212	/workspace/repo_rodri/experiments/42-merged-corpus/runs/42_merged_v1/ckpt/v0-20260814-163049/checkpoint-1212
2026-08-14	105.1	adapter	repo_rodri	42-merged-corpus	42_merged_v1	checkpoint-2424	/workspace/repo_rodri/experiments/42-merged-corpus/runs/42_merged_v1/ckpt/v0-20260814-163049/checkpoint-2424
2026-08-15	105.1	adapter	repo_rodri	42-merged-corpus	42_merged_v1	checkpoint-3636	/workspace/repo_rodri/experiments/42-merged-corpus/runs/42_merged_v1/ckpt/v0-20260814-163049/checkpoint-3636
2026-08-15	105.1	adapter	repo_rodri	42-merged-corpus	42_merged_v1	checkpoint-4848	/workspace/repo_rodri/experiments/42-merged-corpus/runs/42_merged_v1/ckpt/v0-20260814-163049/checkpoint-4848
2026-08-15	105.1	adapter	repo_rodri	42-merged-corpus	42_merged_v1	checkpoint-6060	/workspace/repo_rodri/experiments/42-merged-corpus/runs/42_merged_v1/ckpt/v0-20260814-163049/checkpoint-6060
