run,arm,epoch,eval_set,n_eval,n_videos,n_heico_videos,ood_procedure_in_train,corpus_rows,lora_dropout,precision,train_loss,baseline_run,bucket_mean,acc_ID,acc_OOD,margin_ID,margin_OOD,aggregation_ID,object_recognition_ID,aggregation_OOD,object_recognition_OOD,proxy_leaderboard,macro_f1_ID,macro_f1_OOD,d_bucket_mean_vs_control,verdict
45_R00_v1,R00,1,8 held-out videos (1283 q),1283,8,2,False,14415,0.0,NF4,0.06943179445328826,,0.4315161051058998,0.4554865424430642,0.40625,,,0.33476394849785407,0.568,,,0.451381974248927,0.6876059131640435,0.5642654554698712,0.0,control
45_R0_v1,R0,1,8 held-out videos (1283 q),1283,8,2,True,19384,0.0,NF4,0.05886941788550589,45_R00_v1,0.31701972892183217,0.3188405797101449,0.315,,,0.3261802575107296,0.312,,,0.3190901287553648,0.34653156427965587,0.23481677499849074,-0.11449637618406766,HARM
