cell,delta,ci_low,ci_high,n,n_videos,wins_b,wins_a,excludes_zero
aggregation_ID,-0.07068834989568994,-0.11849916277397424,-0.023466016566723157,955,28,84,153,True
aggregation_OOD,-0.05343274815706047,-0.11022146486554114,0.0012793421290430845,1875,10,160,254,False
object_recognition_ID,-0.10164279183326583,-0.14297032304630816,-0.05901557922608453,1296,28,99,219,True
object_recognition_OOD,-0.12873774186849668,-0.1646277460581266,-0.09060668577308807,2125,10,113,399,True
temporal_grounding_ID,1.0,1.0,1.0,1,1,1,0,True
temporal_grounding_OOD,,,,0,0,0,0,False
ALL_ID,-0.08333884479717814,-0.11422247023809523,-0.0527662037037037,2252,28,184,372,True
ALL_OOD,-0.095,-0.13450625,-0.05500000000000001,4000,10,273,653,True
