cell,delta,ci_low,ci_high,n,n_videos,wins_b,wins_a,excludes_zero,arm
aggregation_ID,0.003797886767505934,-0.0786579635063268,0.08022688411407926,233,6,23,25,False,R0
aggregation_OOD,0.008571428571428572,-0.02528252032520325,0.045714285714285714,421,2,25,22,False,R0
object_recognition_ID,-0.24388883303977638,-0.33789081005472515,-0.1354896845816657,250,6,26,90,True,R0
object_recognition_OOD,-0.20474747474747473,-0.2792207792207792,-0.13111111111111112,379,2,47,123,True,R0
ALL_ID,-0.13657407407407407,-0.19056134259259258,-0.07880529835390945,483,6,49,115,True,R0
ALL_OOD,-0.09125,-0.1275,-0.05500000000000001,800,2,72,145,True,R0
