transform,sep_max_value,sep_mean_value,sep_max_delta,sep_mean_delta,sep_max_wins,sep_mean_wins,sep_max_cells,sep_mean_cells
identity_half,0.21973307341810538,0.10777290146353374,0.001649709894244185,0.0008560526398441183,119,126,235,235
identity,0.2180833635238612,0.10691684882368963,0.0,0.0,0,0,235,235
null_jpeg,0.2177793983608488,0.10640202196917123,-0.0003039651630123468,-0.0005148268545183858,96,81,235,235
hsmg,0.20334636004477052,0.11559193217893664,-0.014737003479090656,0.008675083355247038,101,127,235,235
hsmg_half_post,0.20280202268351769,0.11460043196887951,-0.01528134084034347,0.007683583145189906,104,125,235,235
bimg_quarter_post,0.20206917778290126,0.12560990627991073,-0.0160141857409599,0.01869305745622112,97,148,235,235
bimg_half_post,0.2020336433128391,0.12683647185989302,-0.01604972021102209,0.019919623036203413,91,151,235,235
bimg_half_pre,0.2015727647169586,0.12342667475508377,-0.0165105988069026,0.016509825931394165,84,143,235,235
bimg,0.2000705672764575,0.12447177619292801,-0.01801279624740367,0.01755492736923842,90,146,235,235
