cell,n,illegal,macro_f1_18,macro_f1_arm,d_macro,exact_18,exact_arm,ci_arm
pooled,2675,0,0.642,0.6564,0.0144,0.6344,0.6479,"[0.621, 0.762]"
ID,920,0,0.564,0.6112,0.0472,0.5804,0.6022,"[0.513, 0.715]"
OOD,1755,0,0.6282,0.676,0.0478,0.6627,0.6718,"[0.655, 0.810]"
