epoch,cell,n,videos,delta,ci_low,ci_high,excludes_0,wins_arm,wins_ctrl
1,ALL,6252,38,0.005497888239116309,-0.016490070662768027,0.026444160168940863,False,587,567
1,ID,2252,28,0.007104276895943565,-0.017813877865961197,0.03382495590828923,False,202,186
1,OOD,4000,10,0.0009999999999999996,-0.034999999999999996,0.03376249999999994,False,385,381
1,number ID,768,28,0.009029340908331027,-0.03960789545782434,0.05291878009555614,False,84,72
1,number OOD,1326,10,0.004111047404694701,-0.07335889999600423,0.06311572093340552,False,137,135
1,fo_class ID,920,28,-0.0014789862260015543,-0.0461684510553114,0.038949889024568585,False,79,77
1,fo_class OOD,1755,10,-0.0006023331125835057,-0.039694982712582975,0.04208259570700045,False,157,160
1,binary ID,176,27,-0.015123456790123457,-0.10555555555555556,0.06668209876543203,False,13,16
1,binary OOD,548,10,0.020779878016720127,-0.08949236563874721,0.11311827372189201,False,67,54
1,open_ended OOD,259,10,-0.000910358458745554,-0.07196537862250936,0.06882385920531081,False,18,21
2,ALL,6252,38,-0.00968810916179337,-0.029816154970760234,0.010615679824561394,False,541,561
2,ID,2252,28,-0.014219576719576717,-0.04046062059082892,0.012496004188712486,False,189,221
2,OOD,4000,10,0.0030000000000000014,-0.0215125,0.027250000000000003,False,352,340
2,number ID,768,28,-0.014704819869210862,-0.060318864365118734,0.02974649032875623,False,74,87
2,number OOD,1326,10,0.018744839353321018,-0.03690109077412121,0.07802885629435974,False,156,135
2,fo_class ID,920,28,-0.008199422897800297,-0.045581916911032715,0.02985537482543741,False,82,85
2,fo_class OOD,1755,10,0.019081805089035897,-0.02384339413356624,0.06859831025030973,False,161,129
2,binary ID,176,27,-0.041666666666666664,-0.12191358024691358,0.0355324074074072,False,8,15
2,binary OOD,548,10,-0.058606371698476954,-0.14791379015721123,0.011911870476015133,False,21,51
2,open_ended OOD,259,10,-0.04251460537199077,-0.1283008980267045,0.031133102918586758,False,12,19
3,ALL,6252,38,-0.02928118908382066,-0.047892929662118264,-0.009561058317089033,True,402,604
3,ID,2252,28,-0.027149470899470896,-0.05239969135802469,-0.0016312555114638737,True,164,225
3,OOD,4000,10,-0.035250000000000004,-0.052506250000000004,-0.017499999999999998,True,238,379
3,number ID,768,28,-0.037946817574257226,-0.08488159516613294,0.00893444395067602,False,71,102
3,number OOD,1326,10,-0.008503487601722896,-0.03709118217174657,0.02194056201637028,False,121,136
3,fo_class ID,920,28,-0.025448300126193067,-0.06387818231935552,0.010075462084081586,False,63,80
3,fo_class OOD,1755,10,-0.048730703878604176,-0.07360036003822966,-0.024057384099065292,True,86,179
3,binary ID,176,27,-0.019753086419753083,-0.08333333333333333,0.04722222222222222,False,7,11
3,binary OOD,548,10,-0.05757418020575916,-0.12411863958410012,0.0035008878183219153,False,20,46
3,open_ended OOD,259,10,-0.03270664084076648,-0.1007324535114009,0.030770659448078785,False,10,15
