cell,n,illegal,macro_f1_18,macro_f1_arm,d_macro,exact_18,exact_arm,ci_arm
pooled,2675,0,0.6962,0.7196,0.0234,0.7099,0.7193,"[0.668, 0.798]"
ID,920,0,0.5815,0.5452,-0.0363,0.6772,0.6511,"[0.503, 0.681]"
OOD,1755,0,0.6686,0.7134,0.0447,0.7271,0.755,"[0.685, 0.866]"
