cell,n,illegal,macro_f1_18,macro_f1_arm,d_macro,exact_18,exact_arm,ci_arm
pooled,2675,0,0.7039,0.7036,-0.0003,0.6957,0.7065,"[0.660, 0.808]"
ID,920,0,0.6828,0.6266,-0.0562,0.675,0.6717,"[0.549, 0.727]"
OOD,1755,0,0.7001,0.7218,0.0217,0.7066,0.7248,"[0.692, 0.857]"
