cell,n,illegal,macro_f1_18,macro_f1_arm,d_macro,exact_18,exact_arm,ci_arm
pooled,2675,0,0.6577,0.7134,0.0556,0.6441,0.72,"[0.660, 0.810]"
ID,920,0,0.5165,0.6906,0.1741,0.6478,0.688,"[0.582, 0.763]"
OOD,1755,0,0.6244,0.6929,0.0685,0.6422,0.7368,"[0.654, 0.878]"
