cell,n,r_18_ep3,r_A3_vitlr,delta_r,ci_arm,bias_18,bias_arm,unreadable_arm
pooled,681,0.6804,0.6162,-0.0643,"[0.527, 0.687]",-0.696,-0.599,0
ID,285,0.7217,0.6552,-0.0665,"[0.565, 0.734]",-0.505,-0.54,0
OOD,396,0.6133,0.5659,-0.0475,"[0.372, 0.686]",-0.833,-0.641,0
