epoch,cell,n,videos,delta,ci_low,ci_high,excludes_0,wins_arm,wins_ctrl
1,ALL,6252,38,0.023208252111760884,0.004576713775178687,0.04158564814814814,True,579,449
1,ID,2252,28,0.024889770723104058,0.0009410824514991194,0.04889302248677249,True,225,169
1,OOD,4000,10,0.0185,-0.0095,0.046506249999999964,False,354,280
1,number ID,768,28,0.022695060349029163,-0.016774746619720116,0.05935925626435157,False,78,59
1,number OOD,1326,10,0.02503958594474783,-0.006689598931806752,0.06168962031886329,False,108,77
1,fo_class ID,920,28,0.01905564529311467,-0.022130109657751175,0.060665879619474596,False,81,69
1,fo_class OOD,1755,10,0.002624945859422341,-0.038695885807336655,0.04774482527044254,False,173,158
1,binary ID,176,27,0.01322751322751323,-0.05900242504409171,0.08947089947089942,False,12,12
1,binary OOD,548,10,0.059877950996372054,-0.015482883344725456,0.13113069003365058,False,57,26
1,open_ended OOD,259,10,-0.014561160966933462,-0.08207581490382848,0.05021542534997534,False,10,14
2,ALL,6252,38,0.005558804418453543,-0.013054641812865496,0.023821637426900584,False,526,446
2,ID,2252,28,0.0004905202821869503,-0.022482363315696644,0.02447089947089947,False,187,186
2,OOD,4000,10,0.01975,-0.00575625,0.045756249999999964,False,339,260
2,number ID,768,28,-0.0067450153437334775,-0.05563763046656887,0.03920772971134421,False,82,83
2,number OOD,1326,10,0.020682930273009447,-0.023186474385839175,0.06521386279061132,False,134,109
2,fo_class ID,920,28,0.010582379351963192,-0.020452878510653843,0.04515642063776716,False,69,59
2,fo_class OOD,1755,10,0.04736267924397896,0.014486600070699004,0.08455896448895454,True,171,87
2,binary ID,176,27,-0.049382716049382706,-0.1280864197530864,0.01855709876543189,False,8,15
2,binary OOD,548,10,-0.034500258513416406,-0.0821328320802005,0.010657082500832474,False,24,42
2,open_ended OOD,259,10,-0.03309952922007251,-0.10027838594625522,0.023930398732563377,False,9,16
3,ALL,6252,38,-0.004494801819363223,-0.021665042235217678,0.012569383528265091,False,430,451
3,ID,2252,28,-0.005296516754850087,-0.02743193342151675,0.017375165343915328,False,162,174
3,OOD,4000,10,-0.00225,-0.02175,0.01725,False,268,277
3,number ID,768,28,-0.01216813403126119,-0.05458293464182834,0.03225958126607549,False,72,84
3,number OOD,1326,10,0.02472266391495303,-0.02009929597932794,0.06780307056958983,False,137,114
3,fo_class ID,920,28,-0.0020499747068922014,-0.03123166338698986,0.028088901373890612,False,57,57
3,fo_class OOD,1755,10,-0.016239631667732,-0.03999410868692965,0.005901397127207933,False,87,117
3,binary ID,176,27,0.012345679012345682,-0.041666666666666664,0.07102623456790103,False,10,8
3,binary OOD,548,10,-0.011657947315842054,-0.05986923986101618,0.03321530936169094,False,24,28
3,open_ended OOD,259,10,-0.00856958774106482,-0.09824116541353381,0.07016549982275787,False,14,14
