cell,n,r_18_ep3,r_A_lr,delta_r,ci_arm,bias_18,bias_arm,unreadable_arm
pooled,681,0.6003,0.6589,0.0586,"[0.582, 0.721]",-0.837,-0.579,0
ID,285,0.6684,0.6893,0.0209,"[0.618, 0.753]",-0.747,-0.512,0
OOD,396,0.5162,0.6127,0.0965,"[0.428, 0.729]",-0.902,-0.626,0
