cell,n,r_18_ep1,r_A_lr,delta_r,ci_arm,bias_18,bias_arm,unreadable_arm
pooled,681,0.4888,0.5537,0.0649,"[0.442, 0.647]",-1.598,-1.329,0
ID,285,0.5408,0.5981,0.0573,"[0.491, 0.685]",-1.344,-1.214,0
OOD,396,0.4071,0.4908,0.0836,"[0.201, 0.678]",-1.78,-1.412,0
