cell,n,r_18_ep3,r_B_rank,delta_r,ci_arm,bias_18,bias_arm,unreadable_arm
pooled,681,0.6589,0.6361,-0.0228,"[0.582, 0.703]",-0.579,-0.7,0
ID,285,0.6893,0.6941,0.0048,"[0.619, 0.760]",-0.512,-0.512,0
OOD,396,0.6127,0.5643,-0.0484,"[0.422, 0.655]",-0.626,-0.836,0
