cell,n,illegal,macro_f1_18,macro_f1_arm,d_macro,exact_18,exact_arm,ci_arm
pooled,2675,0,0.5911,0.642,0.0509,0.5828,0.6344,"[0.599, 0.737]"
ID,920,0,0.4608,0.564,0.1032,0.588,0.5804,"[0.508, 0.663]"
OOD,1755,0,0.5532,0.6282,0.075,0.5801,0.6627,"[0.599, 0.809]"
