cell,n,r_18_ep2,r_A3_vitlr,delta_r,ci_arm,bias_18,bias_arm,unreadable_arm
pooled,681,0.6097,0.5747,-0.0349,"[0.469, 0.655]",-0.947,-0.777,0
ID,285,0.6447,0.6052,-0.0395,"[0.500, 0.696]",-0.814,-0.709,0
OOD,396,0.5485,0.5351,-0.0134,"[0.297, 0.673]",-1.043,-0.826,0
