cell,n,r_18_ep3,r_A2_lr,delta_r,ci_arm,bias_18,bias_arm,unreadable_arm
pooled,681,0.6589,0.6804,0.0215,"[0.614, 0.733]",-0.579,-0.696,0
ID,285,0.6893,0.7217,0.0324,"[0.658, 0.775]",-0.512,-0.505,0
OOD,396,0.6127,0.6133,0.0006,"[0.427, 0.729]",-0.626,-0.833,0
