cell,n,illegal,macro_f1_18,macro_f1_arm,d_macro,exact_18,exact_arm,ci_arm
pooled,2675,0,0.7134,0.7443,0.0309,0.72,0.7458,"[0.679, 0.824]"
ID,920,0,0.6906,0.5928,-0.0978,0.688,0.7217,"[0.540, 0.749]"
OOD,1755,0,0.6929,0.7041,0.0112,0.7368,0.7584,"[0.674, 0.876]"
