run,arm,epoch,checkpoint,baseline_run,lr,lora_rank,lora_alpha,proxy_leaderboard,aggregation_ID,object_recognition_ID,bucket_mean,acc_ID,acc_OOD,margin_ID,margin_OOD,number_margin_ID,number_margin_OOD,fo_class_macro_f1_ID,fo_class_macro_f1_OOD,clips_r_pooled,clips_bias,d_proxy_vs_baseline_same_epoch,d_margin_OOD_vs_baseline_same_epoch
21_clip10_v1,D_clip,1,checkpoint-901,21_lr_2e4_v1,0.0002,8,32,0.5231368366621421,0.4104712041884816,0.6358024691358025,0.5811448889193063,0.5399644760213144,0.6425,0.202930728241563,0.1827499999999999,0.08984375,0.0105580693815988,0.4939615211586752,0.6380714294907838,0.6202157958464947,-1.1262848751835532,0.0244978508176588,0.0184999999999999
21_clip10_v1,D_clip,2,checkpoint-1802,21_lr_2e4_v1,0.0002,8,32,0.5745576401008339,0.4523560209424084,0.6967592592592593,0.6244317612268875,0.5928063943161634,0.67975,0.2557726465364121,0.2199999999999999,0.1276041666666666,0.0294117647058823,0.6645049191133182,0.7248049808198204,0.6382539454181135,-0.6857562408223199,-0.000578501712882,0.0197499999999999
21_clip10_v1,D_clip,3,checkpoint-2703,21_lr_2e4_v1,0.0002,8,32,0.6053107426798526,0.4837696335078534,0.7268518518518519,0.6463181164379656,0.6234458259325044,0.69175,0.2864120781527531,0.23199999999999998,0.15234375000000003,0.05505279034690802,0.5426936526278324,0.7193356847905769,0.6781654137427077,-0.5110132158590308,-0.00507037360222351,-0.0022499999999999742
