cell,n,illegal,macro_f1_18,macro_f1_arm,d_macro,exact_18,exact_arm,ci_arm
pooled,2675,0,0.7229,0.718,-0.0049,0.7473,0.7361,"[0.666, 0.830]"
ID,920,0,0.5474,0.5427,-0.0047,0.7228,0.7228,"[0.490, 0.690]"
OOD,1755,0,0.7189,0.7193,0.0005,0.7601,0.743,"[0.683, 0.885]"
