cell,n,illegal,macro_f1_18,macro_f1_arm,d_macro,exact_18,exact_arm,ci_arm
pooled,2675,1,0.6564,0.6526,-0.0038,0.6479,0.6579,"[0.611, 0.750]"
ID,920,0,0.6112,0.494,-0.1173,0.6022,0.6152,"[0.442, 0.658]"
OOD,1755,1,0.676,0.6381,-0.0379,0.6718,0.6803,"[0.605, 0.825]"
