cell,n,r_18_ep1,r_B_rank,delta_r,ci_arm,bias_18,bias_arm,unreadable_arm
pooled,681,0.5537,0.2061,-0.3476,"[0.082, 0.314]",-1.329,-2.07,0
ID,285,0.5981,0.1504,-0.4477,"[0.056, 0.242]",-1.214,-2.225,0
OOD,396,0.4908,0.2314,-0.2594,"[-0.001, 0.387]",-1.412,-1.96,0
