cell,n,illegal,macro_f1_18,macro_f1_arm,d_macro,exact_18,exact_arm,ci_arm
pooled,2675,1,0.7229,0.7047,-0.0181,0.7473,0.7062,"[0.656, 0.814]"
ID,920,0,0.5474,0.633,0.0856,0.7228,0.7043,"[0.567, 0.746]"
OOD,1755,1,0.7189,0.6962,-0.0226,0.7601,0.7071,"[0.664, 0.863]"
