cell,n,illegal,macro_f1_18,macro_f1_arm,d_macro,exact_18,exact_arm,ci_arm
pooled,2675,0,0.6962,0.7039,0.0077,0.7099,0.6957,"[0.650, 0.798]"
ID,920,0,0.5815,0.6828,0.1013,0.6772,0.675,"[0.572, 0.763]"
OOD,1755,0,0.6686,0.7001,0.0315,0.7271,0.7066,"[0.645, 0.857]"
