cell,n,r_18_ep2,r_D_clip,delta_r,ci_arm,bias_18,bias_arm,unreadable_arm
pooled,681,0.6097,0.6383,0.0286,"[0.560, 0.701]",-0.947,-0.686,0
ID,285,0.6447,0.6702,0.0255,"[0.593, 0.741]",-0.814,-0.596,0
OOD,396,0.5485,0.5911,0.0426,"[0.376, 0.712]",-1.043,-0.75,0
