cell,n,illegal,macro_f1_18,macro_f1_arm,d_macro,exact_18,exact_arm,ci_arm
pooled,2675,0,0.6428,0.6962,0.0534,0.6254,0.7099,"[0.646, 0.803]"
ID,920,0,0.4721,0.5815,0.1095,0.6054,0.6772,"[0.520, 0.717]"
OOD,1755,0,0.6169,0.6686,0.0517,0.6359,0.7271,"[0.633, 0.863]"
