cell,n,illegal,macro_f1_18,macro_f1_arm,d_macro,exact_18,exact_arm,ci_arm
pooled,2675,2,0.7039,0.7128,0.0089,0.6957,0.7308,"[0.667, 0.819]"
ID,920,0,0.6828,0.6645,-0.0183,0.675,0.6859,"[0.563, 0.739]"
OOD,1755,2,0.7001,0.7248,0.0247,0.7066,0.7544,"[0.691, 0.882]"
