cell,n,r_18_ep3,r_D_clip,delta_r,ci_arm,bias_18,bias_arm,unreadable_arm
pooled,681,0.6804,0.6782,-0.0023,"[0.603, 0.739]",-0.696,-0.511,0
ID,285,0.7217,0.727,0.0053,"[0.652, 0.787]",-0.505,-0.361,0
OOD,396,0.6133,0.6026,-0.0108,"[0.401, 0.739]",-0.833,-0.619,0
