cell,n,r_18_ep2,r_A2_lr,delta_r,ci_arm,bias_18,bias_arm,unreadable_arm
pooled,681,0.6306,0.6097,-0.0209,"[0.515, 0.681]",-1.028,-0.947,0
ID,285,0.6673,0.6447,-0.0226,"[0.523, 0.731]",-0.902,-0.814,0
OOD,396,0.5752,0.5485,-0.0267,"[0.306, 0.687]",-1.119,-1.043,0
