cell,n,illegal,macro_f1_18,macro_f1_arm,d_macro,exact_18,exact_arm,ci_arm
pooled,2675,0,0.642,0.6426,0.0006,0.6344,0.6662,"[0.591, 0.739]"
ID,920,0,0.564,0.4992,-0.0648,0.5804,0.588,"[0.425, 0.625]"
OOD,1755,0,0.6282,0.6631,0.0349,0.6627,0.7071,"[0.627, 0.821]"
