cell,n,illegal,macro_f1_18,macro_f1_arm,d_macro,exact_18,exact_arm,ci_arm
pooled,2675,1,0.6564,0.6436,-0.0128,0.6479,0.6475,"[0.604, 0.743]"
ID,920,1,0.6112,0.6448,0.0336,0.6022,0.6043,"[0.510, 0.739]"
OOD,1755,0,0.676,0.6379,-0.0381,0.6718,0.6701,"[0.603, 0.803]"
